Time (Red),ABV (Red),Time (Yellow),ABV (Yellow),Time (Green),ABV (Green),,
1/24/24 16:43,0,1/24/24 16:43,0.00,1/24/24 16:49,0.00,,
1/24/24 16:49,0,1/24/24 16:49,0.13,1/24/24 16:55,-0.13,,
1/24/24 16:55,0,1/24/24 16:55,0.00,1/24/24 17:07,-0.13,,
1/24/24 17:08,0.13125,1/24/24 17:08,0.66,1/24/24 17:07,-0.13,,
1/24/24 17:08,0,1/24/24 17:08,0.53,1/24/24 17:24,-0.13,,
1/24/24 17:13,0,1/24/24 17:13,0.00,1/24/24 17:40,-0.13,,
1/24/24 17:30,0,1/24/24 17:30,0.00,1/24/24 17:57,-0.13,,
1/24/24 17:41,0,1/24/24 17:41,0.13,1/24/24 18:14,-0.13,,
1/24/24 17:52,0,1/24/24 17:52,0.00,1/24/24 18:25,-0.13,,
1/24/24 17:58,0,1/24/24 17:58,0.13,1/24/24 18:30,-0.13,,
1/24/24 18:15,0,1/24/24 18:15,0.13,1/24/24 18:36,-0.13,,
1/24/24 18:31,0,1/24/24 18:31,0.13,1/24/24 18:52,-0.13,,
1/24/24 18:37,0,1/24/24 18:37,0.00,1/24/24 19:09,-0.13,,
1/24/24 18:42,0,1/24/24 18:42,0.13,1/24/24 19:26,-0.13,,
1/24/24 18:48,0,1/24/24 18:48,0.13,1/24/24 19:42,-0.13,,
1/24/24 18:53,0,1/24/24 18:53,0.13,1/24/24 19:54,-0.13,,
1/24/24 18:59,0,1/24/24 18:59,0.13,1/24/24 19:59,-0.13,,
1/24/24 19:16,0,1/24/24 19:16,0.13,1/24/24 20:10,-0.13,,
1/24/24 19:27,0,1/24/24 19:27,0.00,1/24/24 20:16,-0.13,,
1/24/24 19:32,0,1/24/24 19:32,0.13,1/24/24 20:27,-0.13,,
1/24/24 19:43,0,1/24/24 19:43,0.00,1/24/24 20:32,-0.13,,
1/24/24 19:49,0,1/24/24 19:49,0.13,1/24/24 20:38,-0.13,,
1/24/24 19:54,0,1/24/24 19:54,0.00,1/24/24 20:43,-0.13,,
1/24/24 20:05,0,1/24/24 20:05,0.13,1/24/24 20:49,-0.13,,
