Time,60 F,65 F,70 F,Time,68 F
0.00,0,0.00,0.00,0,0
0.00,0,0.13,-0.13,0,0
0.00,0,0.00,-0.13,0,0.13125
0.00,0.13125,0.66,-0.13,0,0
0.00,0,0.53,-0.13,0,0
0.00,0,0.00,-0.13,0,0
0.00,0,0.00,-0.13,1,0
0.00,0,0.13,-0.13,1,0
1.00,0,0.00,-0.13,1,0
1.00,0,0.13,-0.13,1,0
1.00,0,0.13,-0.13,2,0
1.00,0,0.13,-0.13,2,0
1.00,0,0.00,-0.13,2,0
1.00,0,0.13,-0.13,2,0
2.00,0,0.13,-0.13,2,0
2.00,0,0.13,-0.13,3,0
2.00,0,0.13,-0.13,3,0
2.00,0,0.13,-0.13,3,0
2.00,0,0.00,-0.13,3,0
2.00,0,0.13,-0.13,4,0
3.00,0,0.00,-0.13,4,0
3.00,0,0.13,-0.13,4,0
3.00,0,0.00,-0.13,4,0
3.00,0,0.13,-0.13,4,0
3.00,0,0.13,-0.13,4,0
3.00,0,0.00,-0.13,4,0
3.00,0,0.13,-0.13,5,0
4.00,0,0.00,-0.13,5,0
4.00,0,0.13,-0.13,5,0
4.00,0,0.00,-0.13,5,0
4.00,0,0.13,0.00,6,0
4.00,0,0.13,-0.13,6,0
4.00,0,0.00,0.00,6,0
4.00,0,0.13,-0.13,6,0
5.00,0,0.00,0.00,6,0
5.00,0,0.00,-0.13,7,0.13125
5.00,0,0.13,-0.13,7,0
5.00,0,0.13,0.00,7,0
5.00,0,0.13,-0.13,7,0.13125
6.00,0,0.00,0.00,8,0.13125
6.00,0.13125,0.13,-0.13,8,0.13125
6.00,0,0.13,0.00,8,0
6.00,0,0.13,-0.13,8,0.13125
7.00,0,0.13,0.00,9,0
7.00,0,0.13,-0.13,9,0.13125
7.00,0.13125,0.00,0.00,9,0.13125
7.00,0,0.13,0.00,9,0.13125
7.00,0,0.00,0.00,9,0.13125
7.00,0,0.13,0.00,10,0.13125
8.00,0,0.00,0.00,10,0.13125
8.00,0,0.13,0.00,10,0.13125
8.00,0,0.13,0.00,10,0.13125
8.00,0.13125,0.13,0.00,11,0.13125
9.00,0,0.13,0.00,11,0.13125
9.00,0.13125,0.13,0.00,11,0.13125
9.00,0.13125,0.13,0.00,11,0.13125
9.00,0,0.13,0.00,12,0.13125
10.00,0.13125,0.13,0.00,12,0.13125
10.00,0,0.13,0.00,12,0.13125
10.00,0.13125,0.13,0.00,12,0.13125
10.00,0,0.13,0.00,13,0.13125
11.00,0.13125,0.13,0.00,13,0.13125
11.00,0,0.13,0.00,13,0.13125
11.00,0.13125,0.13,0.13,13,0.13125
11.00,0,0.13,0.00,13,0.13125
12.00,0.13125,0.13,0.00,13,0.13125
12.00,0,0.13,0.00,14,0.13125
12.00,0.13125,0.13,0.13,14,0.13125
13.00,0,0.13,0.13,14,0.2625
13.00,0.13125,0.13,0.00,14,0.2625
13.00,0.13125,0.13,0.13,15,0.2625
13.00,0.13125,0.13,0.13,15,0.2625
14.00,0.13125,0.13,0.13,15,0.2625
14.00,0.13125,0.13,0.13,15,0.2625
14.00,0.13125,0.13,0.13,16,0.39375
14.00,0.13125,0.13,0.13,16,0.39375
15.00,0.13125,0.13,0.13,16,0.65625
15.00,0.13125,0.13,0.13,17,0.65625
15.00,0.13125,0.13,0.13,17,0.65625
15.00,0.13125,0.13,0.26,17,0.65625
16.00,0.13125,0.13,0.13,17,0.65625
16.00,0.13125,0.13,0.26,18,0.65625
16.00,0.13125,0.26,0.13,18,0.65625
16.00,0.13125,0.13,0.26,18,0.7875
17.00,0.13125,0.26,0.13,18,0.65625
17.00,0.13125,0.26,0.26,19,0.7875
17.00,0.13125,0.26,0.13,19,0.65625
17.00,0.13125,0.26,0.26,19,0.65625
17.00,0.13125,0.26,0.26,19,0.65625
18.00,0.13125,0.26,0.26,20,0.65625
18.00,0.13125,0.26,0.26,20,0.65625
18.00,0.13125,0.26,0.26,20,0.7875
19.00,0.2625,0.26,0.39,21,0.7875
19.00,0.13125,0.26,0.26,21,0.7875
19.00,0.13125,0.26,0.39,21,1.05
19.00,0.13125,0.39,0.39,21,1.05
19.00,0.13125,0.26,0.39,22,1.05
20.00,0.13125,0.26,0.39,22,1.05
20.00,0.13125,0.26,0.53,22,1.05
20.00,0.13125,0.39,0.39,22,1.18125
20.00,0.13125,0.39,0.53,23,1.05
20.00,0.13125,0.39,0.39,23,1.18125
21.00,0.13125,0.39,0.53,23,1.05
21.00,0.13125,0.39,0.53,24,1.18125
21.00,0.13125,0.39,0.53,24,1.05
22.00,0.13125,0.39,0.53,24,1.18125
22.00,0.13125,0.26,0.66,24,1.05
22.00,0.13125,0.39,0.53,24,1.18125
22.00,0.13125,0.39,0.66,25,1.18125
22.00,0.13125,0.39,0.53,25,1.05
23.00,0.13125,0.53,0.53,25,1.3125
23.00,0.13125,0.39,0.66,26,1.18125
23.00,0.13125,0.53,0.53,26,1.3125
23.00,0.13125,0.39,0.66,26,1.44375
23.00,0.13125,0.53,0.79,26,1.3125
23.00,0.13125,0.39,0.66,26,1.44375
24.00,0.2625,0.53,0.66,27,1.3125
24.00,0.13125,0.53,0.79,27,1.44375
24.00,0.2625,0.39,0.66,27,1.3125
24.00,0.13125,0.39,0.79,27,1.44375
24.00,0.13125,0.53,0.66,27,1.44375
24.00,0.2625,0.53,0.79,28,1.44375
24.00,0.2625,0.53,0.92,28,1.44375
25.00,0.2625,0.53,1.05,28,1.44375
25.00,0.2625,0.53,0.92,28,1.44375
25.00,0.2625,0.66,1.05,29,1.44375
25.00,0.2625,0.53,1.05,29,1.44375
25.00,0.2625,0.66,1.18,29,1.575
25.00,0.2625,0.53,1.18,29,1.44375
26.00,0.2625,0.66,1.05,30,1.575
26.00,0.2625,0.53,1.18,30,1.44375
26.00,0.2625,0.66,1.05,30,1.575
28.00,0.2625,0.79,1.18,30,1.44375
28.00,0.2625,0.79,1.31,31,1.70625
28.00,0.2625,0.79,1.05,31,1.70625
29.00,0.2625,0.79,1.31,31,1.70625
29.00,0.2625,0.92,1.44,31,1.8375
29.00,0.2625,0.79,1.58,32,1.8375
29.00,0.39375,0.92,1.44,32,1.96875
29.00,0.2625,0.79,1.58,32,1.8375
29.00,0.39375,0.92,1.58,32,1.96875
30.00,0.2625,0.92,1.71,32,1.96875
30.00,0.39375,0.92,1.84,33,1.8375
30.00,0.39375,1.05,1.71,33,1.8375
30.00,0.2625,0.92,1.84,33,1.8375
30.00,0.39375,1.05,1.84,34,1.96875
31.00,0.39375,0.92,1.84,34,1.8375
31.00,0.39375,1.05,1.84,34,1.96875
31.00,0.39375,1.05,1.71,34,1.8375
31.00,0.39375,0.92,1.84,35,1.96875
32.00,0.39375,1.05,1.84,35,2.1
32.00,0.39375,1.18,1.97,35,1.96875
32.00,0.39375,1.05,1.71,35,2.1
33.00,0.525,1.18,1.58,35,2.23125
33.00,0.39375,1.05,1.71,35,1.575
33.00,0.525,1.18,1.97,35,2.1
33.00,0.39375,1.05,1.84,35,1.96875
33.00,0.39375,1.18,1.71,36,2.49375
33.00,0.39375,1.05,1.97,36,2.625
33.00,0.39375,1.18,2.10,36,2.625
34.00,0.525,1.18,1.97,36,2.75625
34.00,0.525,1.18,2.10,36,2.8875
34.00,0.525,1.31,2.10,36,2.75625
34.00,0.39375,1.18,2.23,37,2.8875
34.00,0.525,1.31,2.10,37,2.8875
35.00,0.525,1.18,2.23,37,3.01875
35.00,0.525,1.31,2.23,37,3.15
35.00,0.525,1.44,2.36,37,3.15
35.00,0.525,1.44,2.23,38,3.54375
36.00,0.525,1.44,2.36,38,3.9375
36.00,0.525,1.44,2.23,38,3.9375
36.00,0.525,1.58,2.36,38,4.06875
36.00,0.525,1.44,2.36,38,4.06875
36.00,0.65625,1.58,2.36,38,4.06875
36.00,0.525,1.44,2.49,38,4.06875
37.00,0.525,1.31,2.36,39,4.06875
37.00,0.525,1.44,2.49,39,4.06875
37.00,0.525,1.31,2.49,39,4.06875
37.00,0.65625,1.44,2.49,39,4.06875
37.00,0.525,1.44,2.49,39,4.06875
37.00,0.65625,1.58,2.63,39,4.06875
37.00,0.525,1.58,2.49,40,4.06875
38.00,0.65625,1.58,2.63,40,4.06875
38.00,0.65625,1.58,2.63,40,4.06875
38.00,0.65625,1.58,2.76,40,4.2
39.00,0.65625,1.71,2.63,40,4.2
39.00,0.65625,1.71,2.76,41,4.2
39.00,0.65625,1.58,2.76,42,4.2
39.00,0.65625,1.71,2.89,42,4.2
39.00,0.65625,1.71,2.89,42,4.2
40.00,0.65625,1.84,2.76,42,4.2
40.00,0.65625,1.71,2.89,43,4.2
40.00,0.7875,1.84,2.89,43,4.2
40.00,0.65625,1.71,3.02,44,4.2
40.00,0.65625,1.84,3.02,45,4.2
40.00,0.7875,1.84,3.02,45,4.2
41.00,0.65625,1.84,3.02,46,4.2
41.00,0.7875,1.97,3.15,46,4.2
41.00,0.7875,1.84,3.15,46,4.2
41.00,0.65625,1.97,3.15,46,4.2
41.00,0.7875,1.84,3.28,46,4.2
41.00,0.65625,1.97,3.15,47,4.2
41.00,0.7875,1.97,3.28,47,4.2
42.00,0.7875,1.84,3.28,47,4.2
42.00,0.7875,1.97,3.28,47,4.2
42.00,0.7875,1.97,3.28,47,4.2
42.00,0.7875,2.10,3.28,47,4.33125
42.00,0.7875,1.97,3.41,47,4.2
43.00,0.7875,2.10,3.41,47,4.2
43.00,0.7875,1.97,3.41,47,4.2
43.00,0.7875,2.10,3.41,47,4.2
43.00,0.91875,2.10,3.54,48,4.2
43.00,0.7875,2.10,3.41,48,4.2
43.00,0.91875,2.23,3.54,48,4.2
43.00,0.7875,2.10,3.54,48,4.2
43.00,0.91875,2.23,3.54,48,4.2
43.00,0.7875,2.10,3.54,48,4.2
44.00,0.91875,2.23,3.68,48,4.2
44.00,0.91875,2.10,3.68,48,4.2
44.00,0.91875,2.23,3.54,48,4.33125
44.00,0.91875,2.10,3.68,48,4.2
44.00,0.91875,2.23,3.68,49,4.33125
44.00,0.91875,2.23,3.81,49,4.2
44.00,1.05,2.23,3.68,49,4.33125
45.00,0.91875,2.23,3.81,49,4.33125
45.00,1.05,2.23,3.68,49,4.33125
45.00,0.91875,2.36,3.81,49,4.33125
45.00,1.05,2.23,3.81,49,4.2
45.00,1.05,2.36,3.68,49,4.33125
46.00,1.18125,2.23,3.81,49,4.2
46.00,1.18125,2.36,3.94,49,4.33125
46.00,1.3125,2.36,3.81,50,4.33125
46.00,1.18125,2.36,3.81,50,4.33125
46.00,1.18125,2.36,3.94,50,4.33125
47.00,1.3125,2.36,3.68,50,4.33125
47.00,1.18125,2.49,3.81,50,4.33125
47.00,1.18125,2.36,3.81,50,4.33125
47.00,1.3125,2.49,3.81,50,4.2
47.00,1.3125,2.49,3.81,51,4.33125
48.00,1.3125,2.49,3.81,51,4.2
48.00,1.18125,2.49,3.81,51,4.33125
48.00,1.18125,2.49,3.81,51,4.33125
48.00,1.18125,2.49,3.94,51,4.33125
49.00,1.18125,2.49,3.81,51,4.33125
49.00,1.44375,2.63,3.94,51,4.33125
49.00,1.44375,2.63,3.81,51,4.33125
49.00,1.3125,2.63,3.94,51,4.33125
49.00,1.3125,2.63,3.81,52,4.33125
50.00,1.18125,2.63,3.94,52,4.33125
50.00,1.3125,2.63,3.81,52,4.33125
50.00,1.3125,2.63,3.94,52,4.33125
50.00,1.44375,2.63,3.94,52,4.33125
51.00,1.3125,2.63,3.94,52,4.33125
51.00,1.3125,2.76,3.94,52,4.2
