Time,36.97c,24.52c,0c,Time2,12.27c,4.09c,16.36c
0,0,0,0,0,0,0,0
0,-0.13125,0,0,0,0,0,0
0,0,0,0.13125,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,0,0,0,1,0,0,0
1,-0.13125,0,0,2,0,0,0
1,0,0,0,2,0,0,0
2,0,0,0,2,0,0,0
2,-0.13125,0,0,3,0,0,0
2,0,0,0,3,0,0,0
2,0,0,0,3,0,0,0
2,0,0,0,3,0,0,0
3,-0.13125,0,0,4,0,0,0
3,0,0,0,4,0,0,0
3,0,0,0,4,0,0,0
3,0,0,0,4,0,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0.13125,0,0
4,0,0,0,5,0,0,0
4,0,0,0,6,0.13125,0,0
4,0,0,0,6,0.13125,0,0
4,0,0,0,6,0,0,0
5,0,0,0,6,0.13125,0.13125,0
5,0,0,0,6,0,0,0
5,0,0,0,6,0.13125,0,0
5,0,0,0,7,0.13125,0,0
6,0,0,0,7,0,0,0
6,0,0,0,7,0.13125,0,0
6,0,0,0,7,0.13125,0,0
6,0,0,0,7,0,0,0
6,0,0,0,7,0,0.13125,0
7,0,0,0.13125,8,0.13125,0.13125,0
7,0,0,0,8,0,0.13125,0
7,0,0,0,8,0,0.13125,0
7,0,0,0.13125,8,0,0.13125,0
8,0,0,0.13125,9,0,0.13125,0
8,0,0,0.13125,9,0.13125,0.13125,0
8,0,0,0,9,0,0.13125,0
8,-0.13125,0,0.13125,9,0,0.13125,0
9,0,0,0,9,0.13125,0.13125,0
9,0,0,0.13125,10,0,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
9,0,0,0.13125,10,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,11,0.13125,0.13125,0
10,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,12,0.13125,0.13125,0
11,0,0,0.13125,13,0.13125,0.13125,0
12,0,0,0.13125,13,0.13125,0.13125,0
12,0,0,0.13125,13,0.13125,0.13125,0
12,-0.13125,0,0.13125,14,0.13125,0.13125,0
12,0,0,0.13125,14,0.13125,0.13125,0
13,-0.13125,0,0.13125,14,0.13125,0.13125,0
13,0,0,0.13125,14,0.13125,0.13125,0
13,0,0,0.13125,15,0.13125,0.13125,0
13,-0.13125,0,0.13125,15,0.13125,0.13125,0
13,0,0,0.13125,15,0.2625,0.13125,0
13,0,0,0.13125,15,0.13125,0.13125,0.13125
14,0,0,0.13125,15,0.13125,0.13125,0
14,0,0,0.13125,16,0.13125,0.13125,0.13125
14,0,0,0.2625,16,0.2625,0.13125,0
14,0,0,0.2625,16,0.2625,0.13125,0.13125
15,0,0,0.2625,16,0.13125,0.13125,0
15,0,0,0.2625,16,0.2625,0.13125,0.13125
15,0,0,0.2625,17,0.2625,0.13125,0.13125
15,0,0,0.2625,17,0.39375,0.13125,0.13125
16,0,0,0.39375,17,0.2625,0.13125,0.13125
16,0,0,0.39375,17,0.39375,0.13125,0.13125
16,0,0,0.65625,17,0.2625,0.13125,0.13125
17,0,0,0.65625,17,0.2625,0.13125,0.13125
17,0,0,0.65625,17,0.13125,0.13125,0.13125
17,0,0,0.65625,18,0.2625,0.13125,0.13125
17,0,0,0.65625,18,0.39375,0.13125,0.2625
18,0,0.13125,0.65625,18,0.2625,0.13125,0.13125
18,0,0,0.65625,18,0.39375,0.13125,0.2625
18,0,0,0.7875,18,0.13125,0.13125,0.13125
18,0,1.3125,0.65625,18,0.39375,0.13125,0.2625
19,0,0,0.7875,19,0.39375,0,0.2625
19,0,0,0.65625,19,0.39375,0,0.2625
19,0,0,0.65625,19,0.2625,0.13125,0.2625
19,0,0,0.65625,19,0.39375,0,0.2625
20,0,0,0.65625,19,0.39375,0,0.2625
20,0,0,0.65625,20,0.525,0.13125,0.2625
20,0,0,0.7875,20,0.39375,0,0.2625
21,0,0,0.7875,20,0.525,0.13125,0.2625
21,0,0,0.7875,20,0.39375,0,0.2625
21,0,0,1.05,20,0.525,0,0.2625
21,0,0,1.05,21,0.525,0.13125,0.39375
22,0,0,1.05,21,0.65625,0,0.2625
22,0,0,1.05,21,0.525,0,0.2625
22,0,0,1.05,21,0.65625,0,0.2625
22,0,0,1.18125,21,0.525,0.13125,0.2625
23,0,0,1.05,21,0.65625,0,0.39375
23,0,0,1.18125,21,0.7875,0,0.2625
23,0,0,1.05,21,0.65625,0.13125,0.39375
24,0,0,1.18125,22,0.7875,0,0.39375
24,0,0,1.05,22,0.7875,0.13125,0.2625
24,0,0,1.18125,22,0.65625,0,0.39375
24,0,0,1.05,22,0.525,0.13125,0.2625
24,0,0.13125,1.18125,22,0.7875,0,0.39375
25,0,0.13125,1.18125,22,0.65625,0.13125,0.39375
25,0,0.13125,1.05,22,0.65625,0,0.39375
25,0,0.13125,1.3125,22,0.7875,0.13125,0.39375
26,0,0.2625,1.18125,23,0.65625,0,0.525
26,0,0.2625,1.3125,23,0.7875,0.13125,0.39375
26,0,0.39375,1.44375,23,0.65625,0,0.65625
26,0,0.2625,1.3125,23,0.7875,0,0.525
26,0,0.39375,1.44375,23,0.65625,0.13125,0.65625
27,0,0.39375,1.3125,23,0.91875,0.13125,0.525
27,0,0.39375,1.44375,23,0.7875,0,0.65625
27,0,0.525,1.3125,23,0.91875,0,0.525
27,0,0.525,1.44375,23,0.7875,0,0.39375
27,-0.13125,0.525,1.44375,24,0.7875,0,0.7875
28,-0.13125,0.525,1.44375,24,0.91875,0.13125,0.65625
28,-0.13125,0.525,1.44375,24,0.91875,0,0.7875
28,-0.13125,0.39375,1.44375,25,0.7875,0.13125,0.2625
28,-0.13125,0.525,1.44375,25,0.91875,0,0.525
29,-0.13125,0.525,1.44375,25,1.05,0.13125,0.7875
29,-0.13125,0.525,1.44375,25,0.91875,0,0.65625
29,-0.13125,0.65625,1.575,25,1.05,0.13125,0.91875
29,-0.13125,0.525,1.44375,26,1.18125,0.13125,0.65625
30,-0.13125,0.525,1.575,26,1.18125,0.13125,0.525
30,-0.13125,0.525,1.44375,26,1.3125,0.13125,0.65625
30,-0.13125,0.39375,1.575,26,1.18125,0.13125,0.525
30,-0.13125,0.39375,1.44375,26,1.3125,0.13125,0.7875
31,-0.13125,0.39375,1.70625,27,1.05,0.13125,0.65625
31,-0.13125,0.525,1.70625,27,1.18125,0.13125,0.7875
31,0,0.65625,1.70625,27,1.3125,0.13125,1.05
31,0,0.525,1.8375,27,1.3125,0.13125,0.7875
32,0,0.65625,1.8375,27,1.18125,0.13125,1.05
